Round,North_Number,North_Suit,South_Number,South_Suit,Briscola_Number,Briscola_Suit,Leader,Winner,Points
1,8,spades,5,coins,1,clubs,South,South,2
2,7,clubs,3,clubs,1,clubs,South,North,10
